g,p,pb,resul
Aurora,Royal Pari,0.8881306771399355,vl

Blooming,Royal Pari,0.581182029380523,vv

Jorge Wilstermann,San Jose,0.9094157181801437,vl

Bolivar,Real Santa Cruz,0.9999824890647528,vv

Royal Pari,Real Santa Cruz,0.6656537606358915,vl

Jorge Wilstermann,Oriente Petrolero,0.9889826221199411,vv

The Strongest,Aurora,0.9793881669091616,vv

Bolivar,Oriente Petrolero,0.999735674090494,vv

Jorge Wilstermann,Royal Pari,0.9973290297647823,vl

Guabira,Real Potosi,0.7437578762654526,vv

Blooming,Real Santa Cruz,0.9148978897094346,vv

Jorge Wilstermann,Guabira,0.9967765366733733,vv

The Strongest,Real Potosi,0.9946099469748424,vv

Guabira,Oriente Petrolero,0.504804595013405,vv

San Jose,Real Potosi,0.9173733563739527,vl

Always Ready,Real Santa Cruz,0.8195189254059582,vv

Bolivar,Aurora,0.9996395167189809,vv

Jorge Wilstermann,Real Santa Cruz,0.999262721325822,vv

Real Potosi,Always Ready,0.53870709470485,vl

San Jose,Always Ready,0.8833905765752984,vl

Jorge Wilstermann,San Jose,0.975247822599017,vv

Guabira,Blooming,0.676734515227002,vv

Royal Pari,Real Santa Cruz,0.721753367657036,vv

Bolivar,Real Potosi,0.9999071504378003,vv

Real Potosi,Nacional Potosi,0.6827224839157444,vl

Oriente Petrolero,Atletico Palmaflor,0.8283228813976645,vl

Nacional Potosi,Always Ready,0.7346398426872833,vl

The Strongest,Blooming,0.9925421906176984,vv
